Player1,Player2,Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,BPC.1,BPW.1,NPA.1,NPW.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,BPC.2,BPW.2,NPA.2,NPW.2
Richard Gasquet,Michael Russell,1,3,0,63,45,37,16,7,7,5,16,18,25,59,37,41,17,6,4,1,3,30,40
Stephane Robert,Albano Olivetti,1,3,0,61,44,39,19,3,2,4,13,,,56,37,44,15,18,8,0,1,,
Jan-Lennard Struff,Guillaume Rufin,0,2,3,55,61,45,32,11,13,5,13,,,55,66,45,27,10,9,5,15,,
Aljaz Bedene,Dmitry Tursunov,0,1,3,52,41,48,19,13,8,2,9,,,55,52,45,27,16,3,6,9,,
Feliciano Lopez,Florent Serra,1,3,1,58,54,42,30,21,3,5,16,,,61,63,39,30,8,2,0,3,,
Kenny De Schepper,Bradley Klahn,0,1,3,59,68,41,37,20,11,1,1,30,42,71,72,29,26,6,1,3,11,30,48
Andrey Kuznetsov,Dudi Sela,0,2,3,53,59,47,44,8,8,10,18,,,59,65,41,38,2,7,11,26,,
Pablo Cuevas,Janko Tipsarevic,0,1,2,51,39,49,24,17,6,0,1,5,10,55,42,45,28,12,2,2,9,10,10
Ernests Gulbis,Andreas Haider-Maurer,0,2,3,58,68,42,31,15,8,5,22,,,49,58,51,43,10,12,4,14,,
Mikhail Kukushkin,Andrej Martin,1,3,0,51,35,49,27,4,5,9,11,,,49,35,51,20,4,3,7,12,,
Roberto Bautista Agut,Thomaz Bellucci,1,3,0,75,44,25,12,1,1,6,10,,,57,28,43,10,7,2,1,4,,
Nick Kyrgios,David Ferrer,0,0,3,69,44,31,9,8,3,1,3,13,19,55,40,45,21,11,2,5,11,6,6
Tommy Robredo,Marinko Matosevic,1,3,1,54,49,46,30,9,3,9,16,9,14,59,44,41,27,7,3,3,9,34,53
Robin Haase,Frank Dancevic,0,1,3,58,65,42,34,19,4,3,15,,,64,68,36,34,14,3,3,4,,
Albert Ramos,Bernard Tomic,0,2,3,55,76,45,42,9,9,4,15,26,38,68,71,32,28,9,2,5,17,28,41
Daniel Evans,Kei Nishikori,1,3,0,48,35,52,25,8,4,6,9,16,24,54,30,46,15,3,8,2,9,10,18
