SalePrice,YearBuilt,YrSold,Age,BasementArea,LivingArea,TotalRoom,GarageCars,Garage
109500,1920,2010,90,936,936,5,0,N
55000,1930,2010,80,0,1092,7,0,N
100000,1965,2010,45,0,1664,8,0,N
142000,1968,2010,42,1056,1056,6,1,S
145000,1957,2010,53,1314,1314,5,1,S
108000,1956,2010,54,832,1337,5,1,S
132000,1942,2010,68,835,1453,7,1,S
144000,1968,2010,42,1196,1196,6,1,S
128000,1915,2010,95,806,1647,6,1,S
169000,1919,2010,91,804,2447,10,1,S
266500,1941,2010,69,1152,2340,9,1,S
212000,1985,2010,25,1488,1502,4,2,L
271500,2005,2010,5,1468,1468,6,2,L
189000,1992,2010,18,1055,1845,8,2,L
148000,1961,2010,49,1109,1155,6,2,L
260000,2004,2010,6,1488,1488,6,2,L
212500,1978,2010,32,1224,1891,7,2,L
197500,1972,2010,38,1161,1381,5,2,L
142000,1959,2010,51,1188,1188,6,2,L
140000,2003,2010,7,1121,1121,5,2,L
179781,2009,2010,1,1214,1214,6,2,L
376162,2009,2010,1,1590,2334,10,3,L
320000,1990,2010,20,1673,3222,11,3,L
60000,1936,2009,73,264,800,4,0,N
112000,1985,2009,24,833,833,5,0,N
124500,1956,2009,53,882,882,5,1,S
127500,1959,2009,50,864,864,5,1,S
164900,1951,2009,58,1008,1363,6,1,S
135000,1946,2009,63,651,1389,6,1,S
99500,1923,2009,86,624,792,5,1,S
119000,1926,2009,83,884,904,4,1,S
113500,1967,2009,42,1052,1052,6,1,S
165000,1961,2009,48,552,1774,8,1,S
100000,1938,2009,71,816,816,3,1,S
125000,1976,2009,33,1041,1125,6,1,S
177500,1942,2009,67,771,1494,7,1,S
160000,1940,2009,69,728,1308,7,1,S
78000,1920,2009,89,596,1192,6,1,S
181316,1994,2009,15,707,1516,7,2,L
174000,1994,2009,15,702,1481,6,2,L
278000,1981,2009,28,2524,2524,9,2,L
156000,1969,2009,40,1026,1026,5,2,L
225000,2008,2009,1,1436,1436,6,2,L
263000,2003,2009,6,912,2094,8,2,L
185000,2004,2009,5,1221,1221,6,2,L
153000,2003,2009,6,1114,1114,6,2,L
195000,2008,2009,1,1145,1256,5,2,L
241600,1981,2009,28,1740,1740,7,2,L
185000,1970,2009,39,1442,1442,6,2,L
187500,1961,2009,48,1453,1453,6,2,L
223500,1923,2009,86,1324,1576,6,2,L
239500,1995,2009,14,1128,2020,8,2,L
142953,1979,2009,30,0,2240,12,2,L
211000,2001,2009,8,944,1870,6,2,L
126000,1977,2009,32,0,1734,8,2,L
224500,2009,2009,0,846,1692,6,2,L
445000,2003,2009,6,2452,2452,10,3,L
323262,2009,2009,0,1555,1680,8,3,L
295493,2008,2009,1,1622,1630,8,3,L
237000,2005,2009,4,1498,1498,7,3,L
315000,2006,2009,3,1838,1838,8,3,L
425000,2007,2009,2,1978,1978,7,3,L
141000,2004,2008,4,1080,1080,6,0,N
109500,1924,2008,84,784,784,5,0,N
260000,1940,2008,68,1580,1518,5,0,N
82000,1955,2008,53,0,1152,6,0,N
128000,1963,2008,45,984,984,5,1,S
98000,1956,2008,52,0,1014,6,1,S
109008,1957,2008,51,907,907,5,1,S
141500,1950,2008,58,572,1337,7,1,S
115000,1948,2008,60,789,789,5,1,S
164900,1940,2008,68,981,1672,6,1,S
113000,1926,2008,82,992,1013,6,1,S
79000,1946,2008,62,0,896,4,1,S
123000,1929,2008,79,704,1136,6,1,S
68500,1927,2008,81,520,520,4,1,S
135000,1948,2008,60,720,1271,7,1,S
119500,1984,2008,24,876,923,5,1,S
130500,1982,2008,26,816,816,5,1,S
176500,1958,2008,50,1184,1414,6,2,L
161000,1976,2008,32,1211,1211,6,2,L
264132,2008,2008,0,1498,1506,6,2,L
163000,1993,2008,15,886,1680,7,2,L
190500,2001,2008,7,827,1677,7,2,L
192000,1974,2008,34,1430,1430,6,2,L
290000,1990,2008,18,930,2683,9,2,L
179400,1999,2008,9,744,1501,6,2,L
217500,1995,2008,13,1230,1239,4,2,L
