Month,DayofMonth,DayOfWeek,CarrierName,ActualDeptTime,SchedDeptTime,DeptDelay,ActualArrvTime,SchedArrvTime,ArrvDelay,ActualElapsedTime,SchedElapsedTime,AirTime,TaxiIn,TaxiOut
1,1,T,Northwest Airlines Inc.,1654,1655,-1,1745,1758,-13,111,123,90,11,10
1,1,T,Northwest Airlines Inc.,707,710,-3,802,818,-16,115,128,90,7,18
1,1,T,United Air Lines Inc.,656,630,26,745,738,7,109,128,96,4,9
1,2,W,Northwest Airlines Inc.,1400,1317,43,1447,1418,29,107,121,94,5,8
1,2,W,Northwest Airlines Inc.,708,710,-2,812,818,-6,124,128,92,7,25
1,2,W,Northwest Airlines Inc.,931,926,5,1034,1030,4,123,124,94,9,20
1,2,W,Northwest Airlines Inc.,1427,1427,0,1529,1528,1,122,121,97,14,11
1,3,TH,United Air Lines Inc.,841,845,-4,939,1002,-23,118,137,97,8,13
1,3,TH,Northwest Airlines Inc.,709,710,-1,817,818,-1,128,128,96,8,24
1,3,TH,United Air Lines Inc.,1202,1208,-6,1300,1315,-15,118,127,100,6,12
1,4,F,United Air Lines Inc.,626,630,-4,738,738,0,132,128,105,6,21
1,5,SA,Northwest Airlines Inc.,1825,1655,90,1935,1758,97,130,123,104,11,15
1,5,SA,Northwest Airlines Inc.,708,710,-2,834,818,16,146,128,99,7,40
1,5,SA,Northwest Airlines Inc.,1121,1125,-4,1239,1230,9,138,125,102,9,27
1,6,SU,Northwest Airlines Inc.,1420,1427,-7,1546,1528,18,146,121,111,8,27
1,6,SU,Northwest Airlines Inc.,1314,1317,-3,1437,1418,19,143,121,121,6,16
1,6,SU,United Air Lines Inc.,719,630,49,854,738,76,155,128,120,6,29
1,6,SU,Northwest Airlines Inc.,1130,1125,5,1242,1230,12,132,125,114,7,11
1,6,SU,United Air Lines Inc.,1423,1427,-4,1538,1531,7,135,124,113,9,13
1,7,M,Northwest Airlines Inc.,1705,1655,10,1812,1756,16,127,121,110,5,12
1,7,M,United Air Lines Inc.,1447,1450,-3,1557,1554,3,130,124,109,9,12
1,7,M,United Air Lines Inc.,1845,1845,0,1947,1956,-9,122,131,100,8,14
1,8,T,United Air Lines Inc.,950,630,200,1050,738,192,120,128,98,6,16
1,10,TH,Northwest Airlines Inc.,656,700,-4,806,809,-3,130,129,94,7,29
1,10,TH,United Air Lines Inc.,627,630,-3,723,738,-15,116,128,98,5,13
1,10,TH,United Air Lines Inc.,1157,1205,-8,1251,1311,-20,114,126,97,5,12
1,10,TH,Northwest Airlines Inc.,917,920,-3,1016,1025,-9,119,125,96,8,15
1,11,F,Northwest Airlines Inc.,1650,1655,-5,1741,1756,-15,111,121,94,7,10
1,11,F,Northwest Airlines Inc.,918,920,-2,1021,1025,-4,123,125,94,14,15
1,12,SA,Northwest Airlines Inc.,921,920,1,1037,1025,12,136,125,90,8,38
1,12,SA,Northwest Airlines Inc.,1432,1426,6,1523,1529,-6,111,123,90,10,11
1,13,SU,United Air Lines Inc.,624,630,-6,713,738,-25,109,128,96,5,8
1,13,SU,Northwest Airlines Inc.,1505,1426,39,1559,1529,30,114,123,93,9,12
1,13,SU,Northwest Airlines Inc.,1159,1200,-1,1247,1305,-18,108,125,88,6,14
1,14,M,United Air Lines Inc.,910,915,-5,1015,1034,-19,125,139,94,10,21
1,14,M,Northwest Airlines Inc.,2142,2145,-3,2225,2244,-19,103,119,87,8,8
1,14,M,Northwest Airlines Inc.,1423,1426,-3,1508,1529,-21,105,123,85,9,11
1,14,M,United Air Lines Inc.,626,630,-4,721,738,-17,115,128,90,7,18
1,14,M,United Air Lines Inc.,1440,1450,-10,1524,1554,-30,104,124,81,9,14
1,15,T,Northwest Airlines Inc.,1651,1655,-4,1812,1756,16,141,121,106,13,22
1,15,T,United Air Lines Inc.,1842,1849,-7,1944,2000,-16,122,131,98,9,15
