Age,Words
Younger,8
Younger,6
Younger,4
Younger,6
Younger,7
Younger,6
Younger,5
Younger,7
Younger,9
Younger,7
Younger,10
Younger,7
Younger,8
Younger,10
Younger,4
Younger,7
Younger,10
Younger,6
Younger,7
Younger,7
Younger,14
Younger,11
Younger,18
Younger,14
Younger,13
Younger,22
Younger,17
Younger,16
Younger,12
Younger,11
Younger,20
Younger,16
Younger,16
Younger,15
Younger,18
Younger,16
Younger,20
Younger,22
Younger,14
Younger,19
Younger,21
Younger,19
Younger,17
Younger,15
Younger,22
Younger,16
Younger,22
Younger,22
Younger,18
Younger,21
Older,9
Older,8
Older,6
Older,8
Older,10
Older,4
Older,6
Older,5
Older,7
Older,7
Older,7
Older,9
Older,6
Older,6
Older,6
Older,11
Older,6
Older,3
Older,8
Older,7
Older,11
Older,13
Older,8
Older,6
Older,14
Older,11
Older,13
Older,13
Older,10
Older,11
Older,12
Older,11
Older,16
Older,11
Older,9
Older,23
Older,12
Older,10
Older,19
Older,11
Older,10
Older,19
Older,14
Older,5
Older,10
Older,11
Older,14
Older,15
Older,11
Older,11
